Date,BTC,ETH,SOL,HYPE
2025-03-07,86742.671875,2138.987548828125,139.20913696289062,15.091766357421875
2025-03-08,86154.59375,2201.51025390625,136.94207763671875,15.125873565673828
2025-03-09,80601.0390625,2015.5091552734375,126.43543243408203,14.46262264251709
2025-03-10,78532.0,1861.1513671875,118.291748046875,13.513055801391602
2025-03-11,82862.2109375,1919.844970703125,125.26394653320312,13.730624198913574
2025-03-12,83722.359375,1908.982666015625,126.58324432373047,13.23147201538086
2025-03-13,81066.703125,1862.9696044921875,123.28614807128906,12.341560363769531
2025-03-14,83969.1015625,1909.467529296875,133.31448364257812,13.768692970275879
2025-03-15,84343.109375,1937.3946533203125,135.91253662109375,14.385722160339355
2025-03-16,82579.6875,1887.43505859375,125.98810577392578,12.967037200927734
2025-03-17,84075.6875,1927.0029296875,128.16371154785156,13.267951965332031
2025-03-18,82718.5,1932.54345703125,125.31269836425781,14.15859603881836
2025-03-19,86854.2265625,2057.7490234375,135.572509765625,15.578302383422852
2025-03-20,84167.1953125,1982.099853515625,127.49718475341797,14.145621299743652
2025-03-21,84043.2421875,1964.8475341796875,128.43031311035156,15.882047653198242
2025-03-22,83832.484375,1980.037841796875,128.4849853515625,15.563880920410156
2025-03-23,86054.375,2005.2991943359375,132.5993194580078,16.261606216430664
2025-03-24,87498.9140625,2077.47900390625,140.86927795410156,16.668542861938477
2025-03-25,87471.703125,2067.76416015625,143.81707763671875,16.053844451904297
2025-03-26,86900.8828125,2009.1893310546875,137.28857421875,14.025702476501465
2025-03-27,87177.1015625,2002.357421875,138.34738159179688,14.605301856994629
2025-03-28,84353.1484375,1895.5029296875,129.42315673828125,13.381643295288086
2025-03-29,82597.5859375,1827.3203125,124.587646484375,12.797877311706543
2025-03-30,82334.5234375,1806.2186279296875,124.64263153076172,12.469366073608398
2025-03-31,82548.9140625,1823.47998046875,124.69412994384766,12.983317375183105
2025-04-01,85169.171875,1905.491455078125,126.68238067626953,13.333250045776367
2025-04-02,82485.7109375,1795.313232421875,117.75762939453125,11.73275375366211
2025-04-03,83102.828125,1815.63720703125,117.06145477294922,11.693442344665527
2025-04-04,83843.8046875,1815.335205078125,122.78688049316406,11.878623962402344
2025-04-05,83504.796875,1805.9732666015625,120.25899505615234,12.02933120727539
2025-04-06,78214.484375,1576.72802734375,105.7120132446289,10.216595649719238
2025-04-07,79235.3359375,1555.240966796875,106.90277862548828,11.43281364440918
2025-04-08,76271.953125,1472.5531005859375,105.51219177246094,11.218594551086426
2025-04-09,82573.953125,1668.0400390625,119.05754089355469,13.563093185424805
2025-04-10,79626.140625,1522.518798828125,112.80392456054688,14.223222732543945
2025-04-11,83404.8359375,1567.1497802734375,121.53237915039062,15.719928741455078
